export_id,page,page_id,clicks,impressions,ctr,position,scope,level,completeness,truncated,window_start,window_end,reporting_country,search_type,filter_type,filter_value,source_file
gsc-16m-all,https://www.orangejelly.co.uk/insights/what-is-a-fractional-cmo,,0,20,0,29.3,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/licensees-guide/pub-health-check-essential-fundamentals-licensee-success,,0,20,0,36.4,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/contact,pg_0015,0,19,0,82.68,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/guides/cellar-management-beer-quality-guide,pg_0025,0,19,0,12.47,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/licensees-guide/category/events,,0,19,0,66.26,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/licensees-guide/30-day-action-plan-stabilise-hospitality,,0,18,0,23.56,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/licensees-guide/local-pub-marketing,,0,18,0,66.83,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/guides/quiz-night-ideas,pg_0020,0,17,0,13.71,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/licensees-guide/fizz-street-food-pop-up,,0,17,0,22.71,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/licensees-guide/zero-waste-stock-management-pubs,,0,17,0,32.12,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
gsc-16m-all,https://www.orangejelly.co.uk/results,pg_0010,0,17,0,22.12,property,page,complete,false,2025-08-01,2026-09-06,GB,web,none,,raw/gsc-16m-all/Pages.csv
