page_id,url,window,window_start,window_end,clicks,impressions,ctr,position,truncated,export_id
,https://www.orangejelly.co.uk/licensees-guide/cashflow-fixes-when-trade-drops,gsc-16m-all,2025-08-01,2026-09-06,0,35,0,26.89,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/cask-ale-week-pub-guide,gsc-16m-all,2025-08-01,2026-09-06,1,619,0.001616,6.77,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/category/community,gsc-16m-all,2025-08-01,2026-09-06,0,8,0,27.88,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/category/events,gsc-16m-all,2025-08-01,2026-09-06,0,19,0,66.26,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/category/social-media,gsc-16m-all,2025-08-01,2026-09-06,0,8,0,93.5,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/category/toolkits,gsc-16m-all,2025-08-01,2026-09-06,0,147,0,75.55,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/christmas-pub-event-ideas,gsc-16m-all,2025-08-01,2026-09-06,2,65,0.030769,23.02,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/community-outreach-reintroduce-pub,gsc-16m-all,2025-08-01,2026-09-06,0,3,0,53,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/double-drinks-profit-without-selling-more,gsc-16m-all,2025-08-01,2026-09-06,0,3,0,18.67,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/energy-bill-shock-cut-venue-costs,gsc-16m-all,2025-08-01,2026-09-06,0,3,0,56.67,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/facebook-marketing-local-pubs,gsc-16m-all,2025-08-01,2026-09-06,0,76,0,8.86,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/fill-empty-pub-tables,gsc-16m-all,2025-08-01,2026-09-06,0,1,0,55,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/fizz-street-food-pop-up,gsc-16m-all,2025-08-01,2026-09-06,0,17,0,22.71,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/food-allergies-gdpr-compliance,gsc-16m-all,2025-08-01,2026-09-06,0,11,0,50.36,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/food-hygiene-rating-five-star-guide,gsc-16m-all,2025-08-01,2026-09-06,0,8,0,37.25,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/how-to-attract-families-to-your-pub,gsc-16m-all,2025-08-01,2026-09-06,0,251,0,3.99,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/how-to-run-successful-pub-events,gsc-16m-all,2025-08-01,2026-09-06,0,16,0,40.06,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/karaoke-night-101,gsc-16m-all,2025-08-01,2026-09-06,0,1,0,11,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/live-music-events-for-pubs,gsc-16m-all,2025-08-01,2026-09-06,0,22,0,13.55,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/local-pub-marketing,gsc-16m-all,2025-08-01,2026-09-06,0,18,0,66.83,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/low-budget-pub-marketing-ideas,gsc-16m-all,2025-08-01,2026-09-06,0,3,0,86,false,gsc-16m-all
